Dags reiknings,Kassanúmer,Vörunúmer,Lýsing,Magn,Upphæð m/VSK,Lýsing-stem,Price Per,ID
2020-05-01,2.0,6032,nice guy,1.0,1195,"['nice', 'guy']",1195.0,63
2020-05-01,2.0,3201,ketó chickencado,1.0,1490,"['ketó', 'chickencado']",1490.0,8
2020-05-01,2.0,1014,nice guy lítil,1.0,990,"['nice', 'guy', 'lítil']",990.0,64
2020-05-01,2.0,6032,nice guy,1.0,1195,"['nice', 'guy']",1195.0,63
2020-05-01,2.0,6049,pescado,1.0,1195,['pescado'],1195.0,67
2020-05-01,2.0,2072,lítil samloka barna,1.0,550,"['lítil', 'samloka', 'barna']",550.0,51
2020-05-01,2.0,2071,lítil djús barna,1.0,550,"['lítil', 'djú', 'barna']",550.0,51
2020-05-01,2.0,2071,lítil djús barna,1.0,550,"['lítil', 'djú', 'barna']",550.0,51
2020-05-01,2.0,2072,lítil samloka barna,1.0,550,"['lítil', 'samloka', 'barna']",550.0,51
2020-05-01,2.0,6046,spicy chicken   gos,1.0,1890,"['spici', 'chicken', 'go']",1890.0,75
2020-05-01,2.0,6046,spicy chicken   gos,1.0,1890,"['spici', 'chicken', 'go']",1890.0,75
2020-05-01,21.0,6029,spicy chicken,1.0,1195,"['spici', 'chicken']",1195.0,75
2020-05-01,21.0,6032,nice guy,1.0,1195,"['nice', 'guy']",1195.0,63
2020-05-01,21.0,2071,lítil djús barna,1.0,550,"['lítil', 'djú', 'barna']",550.0,51
2020-05-01,21.0,2072,lítil samloka barna,1.0,550,"['lítil', 'samloka', 'barna']",550.0,51
2020-05-01,21.0,6026,chickencado,1.0,1195,['chickencado'],1195.0,8
2020-05-01,21.0,6031,dazed,1.0,1195,['daze'],1195.0,15
2020-05-01,21.0,2060,elvis ,1.0,1190,['elvi'],1190.0,19
2020-05-01,21.0,2060,elvis ,1.0,1190,['elvi'],1190.0,19
2020-05-01,21.0,6028,parmella,1.0,1195,['parmella'],1195.0,65
2020-05-01,21.0,6032,nice guy,1.0,1195,"['nice', 'guy']",1195.0,63
2020-05-01,21.0,2007,parmella,1.0,1690,['parmella'],1690.0,65
2020-05-01,2.0,4002,capuccino,1.0,495,['capuccino'],495.0,6
2020-05-01,2.0,2060,elvis ,1.0,595,['elvi'],595.0,19
2020-05-01,2.0,2060,elvis ,1.0,1190,['elvi'],1190.0,19
2020-05-01,2.0,2060,elvis ,1.0,1190,['elvi'],1190.0,19
2020-05-01,2.0,1004,honey bunny ,1.0,595,"['honey', 'bunni']",595.0,34
2020-05-01,2.0,2006,mozzato,1.0,845,['mozzato'],845.0,57
2020-05-01,2.0,2006,mozzato,1.0,845,['mozzato'],845.0,57
