Dags reiknings,Kassanúmer,Vörunúmer,Lýsing,Magn,Upphæð m/VSK,Lýsing-stem,ID
2020-10-14,21.0,2041,3 hangover kombó,1.0,1195,"['3', 'hangov', 'kombó']",30
2020-10-14,21.0,6026,2 chickencado,1.0,1195,"['2', 'chickencado']",8
2020-10-14,21.0,6033,9 honey bunny,1.0,1195,"['9', 'honey', 'bunni']",34
2020-10-14,21.0,6012,lítil spicy chicken,1.0,895,"['lítil', 'spici', 'chicken']",76
2020-10-14,21.0,6015,lítil nice guy,1.0,895,"['lítil', 'nice', 'guy']",64
2020-10-14,21.0,2008,spicy chicken,1.0,845,"['spici', 'chicken']",75
2020-10-14,21.0,2008,spicy chicken,1.0,845,"['spici', 'chicken']",75
2020-10-14,21.0,2060,7 elvis ,1.0,595,"['7', 'elvi']",19
2020-10-14,21.0,2060,7 elvis ,1.0,595,"['7', 'elvi']",19
2020-10-14,21.0,6029,spicy chicken,1.0,1195,"['spici', 'chicken']",75
2020-10-14,21.0,6053,2 hawiian flurt ,1.0,1195,"['2', 'hawiian', 'flurt']",6
2020-10-14,21.0,6029,spicy chicken,1.0,1195,"['spici', 'chicken']",75
2020-10-14,21.0,6053,2 hawiian flurt ,1.0,1195,"['2', 'hawiian', 'flurt']",6
2020-10-14,21.0,6029,spicy chicken,1.0,1195,"['spici', 'chicken']",75
2020-10-14,21.0,6032,nice guy,1.0,1195,"['nice', 'guy']",63
2020-10-14,2.0,2005,2 chickencado,1.0,1690,"['2', 'chickencado']",8
2020-10-14,21.0,2013,6 lítil spicy tuna,1.0,1050,"['6', 'lítil', 'spici', 'tuna']",78
2020-10-14,2.0,2044,vanilla flirt lítil,1.0,990,"['vanilla', 'flirt', 'lítil']",90
2020-10-14,2.0,komboman9,7 elvis   ,1.0,795,"['7', 'elvi']",19
2020-10-14,2.0,komboman4,mozzata   ,1.0,795,['mozzata'],6
2020-10-14,21.0,6026,2 chickencado,1.0,1195,"['2', 'chickencado']",8
2020-10-14,21.0,6030,2 good times,1.0,1195,"['2', 'good', 'time']",24
2020-10-14,2.0,2060,7 elvis ,1.0,1190,"['7', 'elvi']",19
2020-10-14,2.0,2045,vanilla flirt ,1.0,1190,"['vanilla', 'flirt']",89
2020-10-14,2.0,2065,prótein,1.0,290,['prótein'],6
2020-10-14,21.0,6032,nice guy,1.0,1195,"['nice', 'guy']",63
2020-10-14,21.0,6049,pescado,1.0,1195,['pescado'],67
2020-10-14,2.0,6031,8   dazed,1.0,1195,"['8', 'daze']",15
2020-10-14,2.0,6026,2 chickencado,1.0,1195,"['2', 'chickencado']",8
2020-10-14,2.0,6093,9   chicken curry,1.0,1195,"['9', 'chicken', 'curri']",75
2020-10-14,2.0,6093,9   chicken curry,1.0,1195,"['9', 'chicken', 'curri']",75
2020-10-14,2.0,2063,7 elvis kombó,1.0,1195,"['7', 'elvi', 'kombó']",19
2020-10-14,2.0,6032,nice guy,1.0,1195,"['nice', 'guy']",63
2020-10-14,2.0,2058,6 kaffi frappo kombó,1.0,1195,"['6', 'kaffi', 'frappo', 'kombó']",42
2020-10-14,2.0,000004,lítil poki,1.0,20,"['lítil', 'poki']",50
2020-10-14,2.0,6050,lítil pescado,1.0,895,"['lítil', 'pescado']",68
2020-10-14,2.0,6082,7 lítil pescado,1.0,995,"['7', 'lítil', 'pescado']",68
2020-10-14,2.0,6071,5 alabama,1.0,995,"['5', 'alabama']",0
2020-10-14,21.0,6023,11 chango,1.0,1195,"['11', 'chango']",6
2020-10-14,21.0,6049,pescado,1.0,1195,['pescado'],67
2020-10-14,21.0,6023,11 chango,1.0,1195,"['11', 'chango']",6
2020-10-14,2.0,000004,lítil poki,1.0,20,"['lítil', 'poki']",50
2020-10-14,21.0,6038,10  django,1.0,1195,"['10', 'django']",17
2020-10-14,21.0,6033,9 honey bunny,1.0,1195,"['9', 'honey', 'bunni']",34
2020-10-14,21.0,6028,parmella,1.0,1195,['parmella'],65
2020-10-14,21.0,6055,3 icelandic flirt ,1.0,1195,"['3', 'iceland', 'flirt']",36
2020-10-14,2.0,000004,lítil poki,1.0,20,"['lítil', 'poki']",50
2020-10-14,21.0,000005, poki,1.0,40,['poki'],50
2020-10-14,2.0,komboman4,mozzata   ,1.0,795,['mozzata'],6
2020-10-14,2.0,komboman9,7 elvis   ,1.0,795,"['7', 'elvi']",19
2020-10-14,2.0,6093,9   chicken curry,1.0,1195,"['9', 'chicken', 'curri']",75
2020-10-14,21.0,6029,spicy chicken,1.0,1195,"['spici', 'chicken']",75
2020-10-14,21.0,6032,nice guy,1.0,1195,"['nice', 'guy']",63
2020-10-14,2.0,2023,9   chicken curry,1.0,1690,"['9', 'chicken', 'curri']",75
2020-10-14,21.0,6025,spicy tuna,1.0,1195,"['spici', 'tuna']",77
2020-10-14,21.0,6039,5 alabama,1.0,1195,"['5', 'alabama']",0
2020-10-14,21.0,6065,8   dazed,1.0,995,"['8', 'daze']",15
2020-10-14,21.0,6108,mk chicken curry,1.0,995,"['mk', 'chicken', 'curri']",75
2020-10-14,2.0,komboman4,mozzata   ,1.0,795,['mozzata'],6
2020-10-14,2.0,komboman9,7 elvis   ,1.0,795,"['7', 'elvi']",19
2020-10-14,2.0,6029,spicy chicken,1.0,1195,"['spici', 'chicken']",75
2020-10-14,21.0,komboman9,7 elvis   ,1.0,795,"['7', 'elvi']",19
2020-10-14,21.0,komboman4,mozzata   ,1.0,795,['mozzata'],6
2020-10-14,2.0,2063,7 elvis kombó,1.0,1195,"['7', 'elvi', 'kombó']",19
2020-10-14,21.0,6029,spicy chicken,1.0,1195,"['spici', 'chicken']",75
2020-10-14,21.0,2063,7 elvis kombó,1.0,1195,"['7', 'elvi', 'kombó']",19
2020-10-14,21.0,2060,7 elvis ,1.0,1190,"['7', 'elvi']",19
2020-10-14,21.0,000004,lítil poki,1.0,20,"['lítil', 'poki']",50
2020-10-14,21.0,6049,pescado,1.0,1195,['pescado'],67
2020-10-14,21.0,6027,mozzado,1.0,1195,['mozzado'],6
2020-10-14,21.0,6032,nice guy,1.0,1195,"['nice', 'guy']",63
2020-10-14,21.0,6027,mozzado,1.0,1195,['mozzado'],6
2020-10-14,21.0,komboman9,7 elvis   ,1.0,795,"['7', 'elvi']",19
2020-10-14,21.0,komboman4,mozzata   ,1.0,795,['mozzata'],6
2020-10-14,2.0,Klipp22,1 spicy chicken,1.0,0,"['1', 'spici', 'chicken']",75
2020-10-14,2.0,Klipp22,1 spicy chicken,1.0,0,"['1', 'spici', 'chicken']",75
2020-10-14,21.0,6028,parmella,1.0,1195,['parmella'],65
2020-10-14,21.0,6052,1 indian flirt ,1.0,1195,"['1', 'indian', 'flirt']",38
2020-10-14,21.0,6029,spicy chicken,1.0,1195,"['spici', 'chicken']",75
2020-10-14,21.0,6032,nice guy,1.0,1195,"['nice', 'guy']",63
2020-10-14,2.0,2007,parmella,1.0,1690,['parmella'],65
2020-10-14,2.0,6047,winston wolf,1.0,1195,"['winston', 'wolf']",92
2020-10-14,2.0,6029,spicy chicken,1.0,1195,"['spici', 'chicken']",75
2020-10-14,21.0,6023,11 chango,1.0,1195,"['11', 'chango']",6
2020-10-14,2.0,000004,lítil poki,1.0,20,"['lítil', 'poki']",50
2020-10-14,21.0,6038,10  django,1.0,1195,"['10', 'django']",17
2020-10-14,21.0,6094,spicy vegan combó,1.0,1195,"['spici', 'vegan', 'combó']",79
2020-10-14,2.0,10008,toppur kolsýrt vatn 0 5l,1.0,300,"['toppur', 'kolsýrt', 'vatn', '0', '5l']",85
2020-10-14,21.0,1100,gjafabréf nr  1681,1.0,0,"['gjafabréf', 'nr', '1681']",23
2020-10-14,2.0,6026,2 chickencado,1.0,1195,"['2', 'chickencado']",8
2020-10-14,21.0,1100,gjafabréf nr  1682,1.0,0,"['gjafabréf', 'nr', '1682']",23
2020-10-14,2.0,6036,presley,1.0,1195,['presley'],69
2020-10-14,21.0,1008,mr  pink ,1.0,1190,"['mr', 'pink']",61
2020-10-14,21.0,6037,mr  pink,1.0,1195,"['mr', 'pink']",61
